first_name,last_name,title,company,linkedin_url
"Patrick","Collison","CEO","Stripe","https://linkedin.com/in/patrickcollison"
"Cameron","Worboys","Head of Product Design","Cash App","https://www.linkedin.com/in/cameronworboys"
"Pamela","Mead","VP of Global Design","SumUp","https://www.linkedin.com/in/meadpamela"
"David","Fock","Chief Product and Design Officer","Klarna","https://www.linkedin.com/in/davidfock"
"Maiko","Senda Audouin","Global Head of Design and Research","Miro","https://www.linkedin.com/in/maikosenda"
"Mayur","Kamat","Chief Product Officer","N26","https://www.linkedin.com/in/mayur"
"Joe","Futty","Chief Product and Technology Officer","Pipedrive","https://www.linkedin.com/in/joefutty"
"Vuokko","Aro","Chief Design Officer","Monzo","https://www.linkedin.com/in/vuokkoaro"
"Ross","Seychell","CPO","Personio","https://www.linkedin.com/in/ross-seychell"
"Charles","Gorintin","Co-founder and CTO","Alan","https://www.linkedin.com/in/charlesgorintin"
"Steve","Anavi","Co-founder and President","Qonto","https://www.linkedin.com/in/steveanavi"
"Jordane","Giuly","Co-founder and VP Product","Spendesk","https://www.linkedin.com/in/jordane-giuly"
"Jan","Lehnardt","Co-founder and CTO","Contentful","https://www.linkedin.com/in/janlehnardt"
"Tao","Tao","Co-founder and COO","GetYourGuide","https://www.linkedin.com/in/tao-tao-gyg"
"Shahid","Naveed","CTO","Freetrade","https://www.linkedin.com/in/shahid-naveed"
"Sam","Everington","CTO","Starling Bank","https://www.linkedin.com/in/sam-everington"
"Pavel","Dolezal","Co-founder and CTO","Keboola","https://www.linkedin.com/in/paveldolezal"
"Brian","Walker","Chief Product Officer","Bloomreach","https://www.linkedin.com/in/brianfwalker"
"Martin","Maly","CTO","CloudTalk","https://www.linkedin.com/in/martin-maly"
"Jan","Curn","CEO and Co-founder","Apify","https://www.linkedin.com/in/jancurn"
"Viktor","Valko","Co-founder","Vacuumlabs","https://www.linkedin.com/in/viktor-valko"
"Tomas","Gogar","CEO and Co-founder","Rossum","https://www.linkedin.com/in/tomasgogar"
"Peter","Komornik","Co-founder and CEO","Slido","https://www.linkedin.com/in/peterkomornik"
"Daniel","Simko","CEO","GoodRequest","https://www.linkedin.com/in/daniel-simko"
"Julian","Teicke","Co-founder and CEO","wefox","https://www.linkedin.com/in/julianteicke"
"Vinay","Ramani","Chief Product Officer","Tide","https://www.linkedin.com/in/mobilevinay"
"Diego","Zaks","VP of Design","Ramp","https://www.linkedin.com/in/diegozaks"
"John","Francis","VP of Design","Rippling","https://www.linkedin.com/in/jfrancisdesign/"
"Nicole","Kahn","VP of Design","Carta","https://www.linkedin.com/in/nicole-kahn-a497a11/"
"Angel","Steger","VP of Design","Wealthfront","https://www.linkedin.com/in/angelsteger/"
"Jay","Carlson","VP of Design","Betterment","https://www.linkedin.com/in/thinksauce/"
"Milkana","Brace","VP Consumer Product & Design","Remitly","https://www.linkedin.com/in/milkanabrace/"
"Max","Li","Head of Design","Airwallex","https://www.linkedin.com/in/maxbydesign/"
"Stoyan","Kenderov","SVP Head of Product and Design","LendingClub","https://www.linkedin.com/in/stoyankenderov/"
"Algimantas","Jocys","Director of Product Design","TransferGo","https://www.linkedin.com/in/algimantasjocys"
"Aron","Tzimas","Head of Design","Qonto","https://www.linkedin.com/in/arontzimas/"
"Gary","Clark","Chief Product and Technology Officer","Featurespace","https://www.linkedin.com/in/garyjclark/"
"Marco","de Rossi","VP of Product Design","Satispay","https://www.linkedin.com/in/mderox/"
"Rob","Gillham","VP of Product","Pleo","https://www.linkedin.com/in/robgillham/"
"Andy","Budd","Chief Product Officer","Seedcamp","https://www.linkedin.com/in/andybudd/"
"Ilia","Kukharev","Head of Design","Revolut","https://www.linkedin.com/in/ikukharev/"
"Kira","Klaas","VP of Design","PPRO","https://www.linkedin.com/in/kiraklaas/"
"Amer","Mohammed","VP of Product Design","GoCardless","https://www.linkedin.com/in/amermohammed/"
"Amir","Mostofi","Director of Product and Design","Zopa","https://www.linkedin.com/in/amir-mostofi-3b498916"
"Kaloyan","Petrov","Director of Product Design","Payhawk","https://www.linkedin.com/in/petrovkaloyan/"
"Natasha","Garcia","Head of Product Design","Neon","https://www.linkedin.com/in/natasha-garcia-63073137"
"Jaap","Niks","Head of Product Design","Mollie","https://nl.linkedin.com/in/jaap-niks-3721bba8"
"Patrick","Figueroa","Head of Product Design","Acorns","https://www.linkedin.com/in/patrickfigueroa/"
"Josephine","Spencer","Design Operations Director","Checkout.com","https://uk.linkedin.com/in/josephinespencer"
"Neil","Cooper","Executive Creative Director","Starling Bank","https://www.linkedin.com/in/neilcooperdesign/"
